,1. How old are you ?,2. What is your current occupation?,3. How familiar are you with blockchain technology? ,4. How familiar are you with the concept of tokenization?,5. To what extent do you agree that Venture Capital Investment is accessible?,6. To what extent do you agree that tokenization will create new investment opportunities in the venture capital industry?,7. To what extent do you agree that tokenization will reduce the barriers to entry for venture capital investments?,"8. In your opinion, what impact will tokenization have on the liquidity of venture capital investments?",9. To what extent do you agree that tokenization will bring more innovation to the venture capital industry?,10. How do you see the future of tokenization and blockchain technology in the venture capital industry?,11. How do you think the adoption of tokenization will affect the traditional venture capital industry?,12. To what extent do you agree that the use of smart contracts will improve investment transparency?,13. To what extent do you agree that tokenization will eventually replace traditional forms of investment?,14. What kind of blockchain related investment have you done/led?,"15. To what extent do you agree with the statement: ""Investing in a token of a blockchain or a project contributes to its development and success""?","16. In your opinion, what is the biggest advantage of using tokenization in the venture capital industry?",17. What do you think are the biggest challenges to widespread adoption of tokenization in the venture capital industry?,18. How do you think tokenization affects the risk profile of an investment in a blockchain project?,19. How many new startups and innovative projects do you believe have been created as a result of the increased use of tokenization in venture capital investments?,"20. In your opinion, what are the disadvantages of tokenization in venture capital investments? (Select all that apply)"
,35-44,Industry Expert,Somewhat familiar,Very familiar,Strongly Agree,Agree,Agree,No Impact,Neutral,Will become the dominant form of investment,Will complement the industry,Neutral,Neutral,Serie A,Neutral,The Increase of efficiency key,There will be Black market activity,Decreases the risk,Many,"Regulatory uncertainty, Complexity"
,45-55,Startup Founder,Very familiar,Somewhat familiar,Neutral,Agree,Neutral,Not sure,Strongly Disagree,Will be a passing trend,Will have no effect on the industry,Neutral,Disagree,Seed,Neutral,They Reduces data theft risk,Privacy always ,Neutral,A significant amount,Lack of investor protection
,25-34,Investor,Very familiar,Very familiar,Agree,Strongly agree,Agree,Decrease in liquidity,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Increase efficiency,Cyber crime,Decreases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection"
,25-34,Venture Capitalist,Somewhat familiar,Very familiar,Agree,Agree,Neutral,No Impact,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,Serie B,Neutral,Privacy enhancing,Its easy to loose tokens,Decreases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection"
,45-55,Industry Expert,Not familiar,Somewhat familiar,Disagree,Agree,Strongly Disagree,Slight increase in liquidity,Neutral,Will coexist with traditional investments,Will disrupt the industry,Neutral,Agree,Serie A,Neutral,It cant be deciphered,Cliens don't accept changing technology,Decreases the risk,Many,"Volatility, Limited adoption"
,45-55,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Decrease in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,Accountability enhancement,Volatility,Increases the risk,Some,"Regulatory uncertainty, Volatility, Limited adoption"
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will be a passing trend,Will have no effect on the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,Not sure ,Online scammer is the main problem i know ,Decreases the risk,Some,"Regulatory uncertainty, Volatility, Limited adoption, Complexity"
,45-55,Industry Expert,Very familiar,Very familiar,Agree,Neutral,Neutral,No Impact,Agree,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Disagree,Serie B,Disagree,The Privacy enhancement is key ,There's high rate of Scammers ,Neutral,Some,Volatility
,25-34,Investor,Somewhat familiar,Very familiar,Agree,Agree,Agree,Significant increase in liquidity,Agree,Will become the dominant form of investment,Will have no effect on the industry,Strongly agree,Agree,Seed,Agree,Credit card security is secured to some extent,It can easily be loosed ,Increases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,45-55,Investor,Not familiar,Somewhat familiar,Neutral,Agree,Agree,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie A,Neutral,It Reduces data theft risk,There's Value and volatility,Decreases the risk,Very few,Volatility
,45-55,Investor,Very familiar,Somewhat familiar,Agree,Neutral,Neutral,Not sure,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Agree,It works fast ,Bank don't accept token ,Neutral,Unsure,"Regulatory uncertainty, Lack of investor protection, Limited adoption, Complexity"
,45-55,Industry Expert,Somewhat familiar,Somewhat familiar,Neutral,Disagree,Neutral,Decrease in liquidity,Disagree,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Disagree,Serie B,Disagree,It helps PCI compliance,It brings about Disclaimers,Neutral,Many,Regulatory uncertainty
,18-24,Student,Somewhat familiar,Very familiar,Agree,Neutral,Strongly Disagree,Decrease in liquidity,Disagree,Will be a passing trend,Will have no effect on the industry,Disagree,Neutral,Serie C,Disagree,There's low data theft risk,Disclaimer,Neutral,Unsure,Volatility
,35-44,Investor,Very familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Disagree,Will coexist with traditional investments,Will complement the industry,Neutral,Disagree,Serie B,Neutral,It cannot be deciphered at all times ,It is very hard to comprehend,Decreases the risk,Many,Regulatory uncertainty
,35-44,Industry Expert,Not familiar,Somewhat familiar,Neutral,Neutral,Disagree,No Impact,Neutral,Will be a passing trend,Will disrupt the industry,Disagree,Neutral,Serie A,Neutral,It helps your customer to trust you,Banks don't accept changing technology,Not sure,Some,Volatility
,45-55,Industry Expert,Not familiar,Not familiar,Agree,Agree,Disagree,No Impact,Neutral,Will be a passing trend,Will disrupt the industry,Agree,Strongly Disagree,Serie C,Disagree,They facilitate using block chain technology,Poor proper regulation,Decreases the risk,A significant amount,Volatility
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Neutral,Disagree,Strongly agree,No Impact,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Disagree,Serie A,Neutral,There must be efficiency,There is no Worries about changing technology,Neutral,Some,Lack of investor protection
,18-24,Student,Somewhat familiar,Very familiar,Strongly Agree,Disagree,Strongly agree,Decrease in liquidity,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Neutral,Serie B,Neutral,There's transactions efficiency ,It enhances volatility,Neutral,A significant amount,Volatility
,55 and over,Investor,Somewhat familiar,Somewhat familiar,Neutral,Disagree,Neutral,Not sure,Disagree,Will be a passing trend,Will complement the industry,Disagree,Agree,Serie B,Neutral,It reduces theft ,There is disclaimer ,Decreases the risk,A significant amount,"Volatility, Complexity"
,45-55,Industry Expert,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Agree,Decrease in liquidity,Neutral,Will be a passing trend,Will disrupt the industry,Disagree,Disagree,Serie B,Strongly Agree,It prevents false transactions ,It deals with theft ,Decreases the risk,Many,Volatility
,35-44,Investor,Very familiar,Not familiar,Strongly Disagree,Neutral,Neutral,No Impact,Disagree,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie B,Neutral,There must be transparency in dealings,There must be rules and regulations to adopt to,Neutral,Some,"Regulatory uncertainty, Volatility"
,45-55,Investor,Somewhat familiar,Not familiar,Neutral,Agree,Disagree,Slight increase in liquidity,Neutral,Will become the dominant form of investment,Will have no effect on the industry,Agree,Neutral,Seed,Neutral,Resistant to satiation,The skills is difficult to adopt ,Decreases the risk,Many,Regulatory uncertainty
,35-44,Investor,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will be a passing trend,Will complement the industry,Neutral,Agree,Serie B,Agree,Customer needs your trust ,There must not be Fraud ,Decreases the risk,A significant amount,"Regulatory uncertainty, Volatility"
,45-55,Industry Expert,Very familiar,Somewhat familiar,Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will disrupt the industry,Disagree,Neutral,Seed,Neutral,There must be integrity ,Cyber fraud ,Neutral,Many,Volatility
,35-44,Investor,Somewhat familiar,Somewhat familiar,Neutral,Agree,Neutral,Not sure,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie B,Neutral, It increases accountability as at when due ,It leads to bottleneck when sending data,Neutral,A significant amount,Lack of investor protection
,25-34,Investor,Somewhat familiar,Somewhat familiar,Neutral,Agree,Agree,No Impact,Agree,Will be a passing trend,Will complement the industry,Neutral,Neutral,Seed,Neutral,There must be Privacy enhancement at all times ,It's easy to loose your token asset,Neutral,Many,Lack of investor protection
,45-55,Investor,Very familiar,Very familiar,Agree,Agree,Agree,Not sure,Agree,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Usage of credit card is secure ,Disclaimer,Not sure,Many,"Regulatory uncertainty, Lack of investor protection"
,35-44,Investor,Somewhat familiar,Very familiar,Strongly Agree,Agree,Agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Agree,Its easy to access,Scammers ,Increases the risk,Some,"Volatility, Limited adoption"
,35-44,Investor,Somewhat familiar,Very familiar,Agree,Agree,Agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,Serie C,Neutral,Bring more innovation,Piracy ,Neutral,Some,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Investor,Very familiar,Very familiar,Neutral,Neutral,Agree,Significant increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Disagree,Neutral,Serie B,Disagree,It customer are built on trust,The Black market activity is on the high side ,Not sure,Many,Volatility
,35-44,Investor,Somewhat familiar,Very familiar,Agree,Neutral,Neutral,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Agree,Serie C,Strongly Agree,It cant be deciphered,There is piracy,Not sure,Some,Complexity
,45-55,Industry Expert,Somewhat familiar,Somewhat familiar,Agree,Agree,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Seed,Neutral,It needs PCI compliance,Fraudulent activity will be on the rise,Decreases the risk,Many,"Regulatory uncertainty, Complexity"
,35-44,Investor,Somewhat familiar,Somewhat familiar,Agree,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Disagree,Neutral,ICO (Initial Coin Offering),Disagree,It reduces data theft,There's lack of rules and regulations,Not sure,A significant amount,Limited adoption
,25-34,Industry Expert,Somewhat familiar,Very familiar,Neutral,Neutral,Neutral,Slight increase in liquidity,Neutral,Will become the dominant form of investment,Will complement the industry,Neutral,Disagree,Seed,Neutral,It Facilitate using block chain technology,it imbibe Cyber hacking,Decreases the risk,A significant amount,Regulatory uncertainty
,45-55,Startup Founder,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will disrupt the industry,Disagree,Neutral,Pre-Seed,Agree,It cannot be deciphered at all,It brings about Black market activity,Decreases the risk,Many,"Volatility, Complexity"
,25-34,Investor,Somewhat familiar,Somewhat familiar,Neutral,Agree,Agree,Slight increase in liquidity,Agree,Will become the dominant form of investment,Will complement the industry,Agree,Agree,Serie A,Agree,It Increases efficiency productivity ,There will be Theft and hacking,Decreases the risk,Many,Regulatory uncertainty
,35-44,Venture Capitalist,Not familiar,Somewhat familiar,Disagree,Disagree,Neutral,Slight increase in liquidity,Agree,Will be a passing trend,Will disrupt the industry,Agree,Agree,Serie B,Neutral,There will be Transparency in there transactions,There will be Disclaimers,Neutral,Some,Regulatory uncertainty
,35-44,Investor,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,Slight increase in liquidity,Disagree,Will be a passing trend,Will disrupt the industry,Disagree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,There Credit cards are secured ,There shouldn't be challenge about changing technology,Neutral,Very few,Limited adoption
,45-55,Industry Expert,Somewhat familiar,Somewhat familiar,Agree,Agree,Neutral,Slight increase in liquidity,Disagree,Will be a passing trend,Will disrupt the industry,Disagree,Neutral,Serie A,Agree, Customer trust must be built ,It leads to bottleneck when sending data,Decreases the risk,Some,"Regulatory uncertainty, Volatility"
,35-44,Industry Expert,Somewhat familiar,Somewhat familiar,Strongly Agree,Agree,Neutral,No Impact,Neutral,Will become the dominant form of investment,Will complement the industry,Disagree,Agree,Pre-Seed,Agree,There must be a trusted customer relationship ,It brings about bottleneck when sending data,Decreases the risk,Very few,"Regulatory uncertainty, Limited adoption"
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Neutral,Transparency,Piracy,Decreases the risk,A significant amount,Lack of investor protection
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Agree,Credit card is secure,Volatility,Decreases the risk,Many,Volatility
,25-34,Investor,Very familiar,Very familiar,Agree,Agree,Agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It build customer trust,Easy for scams,Not sure,Some,Lack of investor protection
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Transparent transactions,Lack of proper regulation,Decreases the risk,A significant amount,Limited adoption
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Strongly Agree,Resistant to satiation,Lack of proper regulation,Decreases the risk,A significant amount,"Limited adoption, Complexity"
,18-24,Industry Expert,Very familiar,Very familiar,Agree,Strongly agree,Agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,ICO (Initial Coin Offering),Strongly Agree,Increase efficiency,Black market activity,Neutral,Many,Regulatory uncertainty
,18-24,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Credit card is safe,It heads to bottleneck when sending data,Decreases the risk,Many,Volatility
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Privacy enhancement,Piracy,Neutral,Many,Limited adoption
,25-34,Investor,Somewhat familiar,Very familiar,Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Increase accountability,Easy to loose your token asset,Decreases the risk,Many,Regulatory uncertainty
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Honesty,Not easy to understand,Neutral,Many,Lack of investor protection
,18-24,Student,Very familiar,Very familiar,Agree,Strongly agree,Strongly agree,Decrease in liquidity,Agree,Will be a passing trend,Will have no effect on the industry,Agree,Strongly Agree,Seed,Agree,"it's so great, saves someone from having too much of cash, when it's been exchange",scam and fraud everywhere,Increases the risk,Some,"Regulatory uncertainty, Volatility, Limited adoption"
,25-34,Investor,Somewhat familiar,Very familiar,Agree,Agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Agree,easy to understand,cyber crime ,Increases the risk,A significant amount,"Regulatory uncertainty, Volatility, Lack of investor protection"
,25-34,Venture Capitalist,Very familiar,Somewhat familiar,Agree,Strongly agree,Agree,No Impact,Neutral,Will become the dominant form of investment,Will complement the industry,Agree,Agree,Serie A,Agree,will add more value to the industry,online stealing and fraudulent act,Not sure,Some,"Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Investor,Very familiar,Very familiar,Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,it's good and safe people from the use or having big cash in hand ,changing technology or decline in the value of the token ,Increases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,18-24,Student,Somewhat familiar,Somewhat familiar,Agree,Strongly agree,Agree,No Impact,Neutral,Will become the dominant form of investment,Will complement the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Neutral,increase investment prospect,expiration or decline in technology ,Increases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection"
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,Good accountability,Lack of proper regulation,Decreases the risk,Some,Complexity
,18-24,Venture Capitalist,Very familiar,Very familiar,Agree,Agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,It build honesty for customers,Lack of proper regulation,Neutral,A significant amount,Complexity
,25-34,Venture Capitalist,Somewhat familiar,Not familiar,Agree,Strongly agree,Strongly agree,Decrease in liquidity,Agree,Will be a passing trend,Will have no effect on the industry,Agree,Agree,None,Agree,great opportunity to invest,fraud is the major disadvantage ,Increases the risk,Some,"Regulatory uncertainty, Lack of investor protection, Complexity"
,25-34,Startup Founder,Very familiar,Somewhat familiar,Agree,Neutral,Neutral,Not sure,Agree,Will become the dominant form of investment,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,"through exchange, it will crate job opportunity ","easy manipulation of someone else data, that results to scamming",Not sure,Unsure,"Volatility, Lack of investor protection, Complexity"
,25-34,Student,Somewhat familiar,Not familiar,Neutral,Neutral,Neutral,Decrease in liquidity,Agree,Will be a passing trend,Will complement the industry,Neutral,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,easy to access ,piracy ,Neutral,A significant amount,"Regulatory uncertainty, Volatility, Lack of investor protection"
,18-24,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It build PCI compliance,Cyber hacking,Neutral,Many,Regulatory uncertainty
,18-24,Investor,Very familiar,Very familiar,Agree,Agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Transparency,Theft and hacking,Neutral,A significant amount,Volatility
,25-34,Startup Founder,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,Other,Strongly Agree,Resistant to satiation,It is hard to comprehend,Neutral,A significant amount,Lack of investor protection
,18-24,Student,Very familiar,Somewhat familiar,Agree,Agree,Disagree,No Impact,Neutral,Will coexist with traditional investments,Will disrupt the industry,Neutral,Agree,None,Neutral,There Credit card is secure,There is challenges changing technology,Neutral,Some,"Lack of investor protection, Complexity"
,18-24,Student,Somewhat familiar,Somewhat familiar,Agree,Agree,Neutral,No Impact,Disagree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,None,Agree,There is Credit card is security ,Banks don't accommodate changing technology,Neutral,Many,"Limited adoption, Complexity"
,18-24,Student,Somewhat familiar,Very familiar,Neutral,Strongly agree,Neutral,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will disrupt the industry,Neutral,Disagree,None,Neutral,It Increases availability ,It is not easy to comprehend ,Neutral,Many,"Regulatory uncertainty, Lack of investor protection"
,18-24,Student,Somewhat familiar,Very familiar,Disagree,Neutral,Agree,Slight increase in liquidity,Neutral,Will be a passing trend,Will complement the industry,Neutral,Disagree,None,Disagree,It provides using block chain technology,There will be lack of regulation,Decreases the risk,Many,"Regulatory uncertainty, Lack of investor protection"
,18-24,Student,Very familiar,Somewhat familiar,Neutral,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Strongly Agree,None,Disagree,It enables accountability,It brings about value and volatility,Neutral,A significant amount,"Volatility, Lack of investor protection"
,18-24,Student,Somewhat familiar,Somewhat familiar,Disagree,Agree,Disagree,No Impact,Disagree,Will be a passing trend,Will disrupt the industry,Neutral,Disagree,None,Neutral,It reduces data theft risk,It increases Cyber hacking ,Decreases the risk,Some,"Volatility, Lack of investor protection"
,18-24,Student,Not familiar,Not familiar,Neutral,Disagree,Neutral,Significant increase in liquidity,Disagree,Will become the dominant form of investment,Will complement the industry,Disagree,Disagree,None,Neutral,There is resistant to satiation,There's Piracy,Not sure,Many,"Limited adoption, Complexity"
,18-24,Student,Very familiar,Not familiar,Disagree,Disagree,Neutral,Decrease in liquidity,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Disagree,None,Disagree,It increases privacy enhancement,It is tasky to comprehend,Neutral,Many,Regulatory uncertainty
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Privacy enhancement,Bank don't accept changing technology,Neutral,Some,Complexity
,18-24,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Trustworthy,Bank don't accept changing technology,Decreases the risk,Many,Regulatory uncertainty
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Investment transparency,Bank don't accept changing technology,Neutral,Very few,Limited adoption
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Agree,It help PCI compliance,Cyber theft and hacking,Decreases the risk,Many,Lack of investor protection
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Resistant to satiation,Changing technology,Decreases the risk,Many,Limited adoption
,18-24,Student,Somewhat familiar,Somewhat familiar,Disagree,Agree,Neutral,Decrease in liquidity,Agree,Will coexist with traditional investments,Will have no effect on the industry,Disagree,Neutral,None,Disagree,There should be good rappour between customers,Fraudulent act will eventually creep in,Neutral,A significant amount,Lack of investor protection
,25-34,Investor,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Time saving,Not so easy to understand,Neutral,A significant amount,Volatility
,35-44,Startup Founder,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Transparent transactions,Can easily be hacked,Not sure,A significant amount,Regulatory uncertainty
,25-34,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Enhancement,Limit adoption,Neutral,Many,Limited adoption
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,It helps PCI compliance,It is hard to comprehend,Neutral,Many,Volatility
,18-24,Venture Capitalist,Somewhat familiar,Very familiar,Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Transparent transactions,It is hard to comprehend,Neutral,Many,Limited adoption
,18-24,Venture Capitalist,Very familiar,Somewhat familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Transparent transactions,It is hard to comprehend,Decreases the risk,A significant amount,Regulatory uncertainty
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Significant increase in liquidity,Agree,Will become the dominant form of investment,Will disrupt the industry,Disagree,Strongly Disagree,None,Agree,There is Increase in accountability,There is always lack of proper regulation,Neutral,Many,"Regulatory uncertainty, Volatility"
,18-24,Venture Capitalist,Somewhat familiar,Very familiar,Agree,Neutral,Strongly Disagree,No Impact,Strongly Disagree,Will be a passing trend,Will have no effect on the industry,Agree,Strongly Disagree,Serie A,Neutral,There is transparentcy in there transactions,It is very hard to comprehend,Increases the risk,Some,Regulatory uncertainty
,18-24,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Resistant to satiation,Theft and hacking,Decreases the risk,A significant amount,Limited adoption
,25-34,Startup Founder,Somewhat familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Increase efficiency,Not easily understandable,Neutral,Many,Complexity
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Transparent transactions,Easy for scamming,Decreases the risk,Many,"Regulatory uncertainty, Complexity"
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Builds customers trust ,Facilitate using block chain technology,Neutral,Many,Volatility
,18-24,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,It cannot be deciphered,Lack of value and volatility,Decreases the risk,Some,Lack of investor protection
